supplier_id,country,supplier_name,avg_temperature_celsius,rainfall_mm_per_year,extreme_events_per_year,cost_per_unit_usd,lead_time_days,quality_score,reliability_score,climate_risk_level
26,Brazil,Brazil_Supplier_26,23.27,1138.64,5.0,4.93,39,0.962,0.903,Low
27,Brazil,Brazil_Supplier_27,23.36,1198.18,2.0,3.67,25,0.726,0.987,Low
28,Brazil,Brazil_Supplier_28,20.78,1393.29,5.0,3.57,32,0.756,1.0,Low
29,Brazil,Brazil_Supplier_29,26.85,1526.95,3.0,4.38,43,0.56,0.928,Medium
30,Brazil,Brazil_Supplier_30,25.15,1366.6,6.0,3.65,25,0.778,0.738,Low
31,Brazil,Brazil_Supplier_31,20.57,1255.18,3.0,3.68,38,0.84,0.831,Low
32,Brazil,Brazil_Supplier_32,25.88,1642.78,6.0,4.66,31,0.905,0.756,Low
33,Brazil,Brazil_Supplier_33,26.04,1082.5,6.0,4.86,26,0.782,0.787,Medium
34,Brazil,Brazil_Supplier_34,27.6,1458.75,8.0,4.24,26,0.541,0.977,High
35,Brazil,Brazil_Supplier_35,27.1,1280.73,4.0,3.63,39,0.703,0.823,Medium
36,Brazil,Brazil_Supplier_36,20.68,1789.31,7.0,4.67,36,0.836,0.784,Low
37,Brazil,Brazil_Supplier_37,20.89,1394.1,2.0,3.58,27,0.782,0.717,Low
38,Brazil,Brazil_Supplier_38,25.97,,6.0,4.95,25,0.757,0.898,Low
39,Brazil,Brazil_Supplier_39,27.94,1059.04,8.0,3.92,44,0.739,0.898,High
40,Brazil,Brazil_Supplier_40,24.96,1221.9,4.0,4.96,44,0.784,0.988,Low
41,Brazil,Brazil_Supplier_41,22.48,1651.04,8.0,3.54,32,0.78,0.69,Medium
42,Brazil,Brazil_Supplier_42,23.05,1775.93,5.0,4.8,41,0.902,0.831,Low
43,Brazil,Brazil_Supplier_43,27.56,,5.0,4.51,37,0.667,0.77,Medium
44,Brazil,Brazil_Supplier_44,25.37,1416.25,7.0,3.54,40,0.899,0.888,Low
45,Brazil,Brazil_Supplier_45,21.7,1109.1,2.0,4.38,32,0.839,0.786,Low
46,Brazil,Brazil_Supplier_46,22.79,1411.19,8.0,4.19,44,0.543,0.791,Medium
47,Brazil,Brazil_Supplier_47,25.07,1192.12,2.0,3.73,27,0.64,0.849,Low
48,Brazil,Brazil_Supplier_48,22.77,1717.43,4.0,3.75,30,0.739,0.696,Low
49,Brazil,Brazil_Supplier_49,21.65,1291.42,5.0,4.81,43,0.739,0.778,Low
50,Brazil,Brazil_Supplier_50,26.45,1598.61,4.0,4.05,34,0.835,0.701,Medium
51,Colombia,Colombia_Supplier_1,23.37,2011.68,2.0,5.07,23,0.774,0.708,Low
52,Colombia,Colombia_Supplier_2,18.12,1822.08,,5.78,28,0.956,0.915,Low
53,Colombia,Colombia_Supplier_3,20.99,1586.92,4.0,4.57,25,0.943,1.0,Low
54,Colombia,Colombia_Supplier_4,20.14,2486.52,2.0,4.31,23,0.812,0.809,Medium
55,Colombia,Colombia_Supplier_5,19.71,1673.37,3.0,5.96,21,0.889,0.842,Low
56,Colombia,Colombia_Supplier_6,23.19,2317.07,2.0,5.86,28,0.683,0.904,Medium
57,Colombia,Colombia_Supplier_7,22.62,1687.04,3.0,4.23,29,0.914,0.684,Low
58,Colombia,Colombia_Supplier_8,18.93,1981.14,1.0,4.67,22,0.951,0.792,Low
59,Colombia,Colombia_Supplier_9,19.53,2181.5,5.0,5.66,34,0.887,0.79,Low
60,Colombia,Colombia_Supplier_10,23.63,1681.23,2.0,5.68,22,0.791,0.909,Low
61,Colombia,Colombia_Supplier_11,18.98,1664.27,6.0,4.88,25,0.663,0.815,Low
62,Colombia,Colombia_Supplier_12,22.49,2002.72,5.0,4.23,34,0.702,0.964,Low
63,Colombia,Colombia_Supplier_13,18.84,2294.03,,4.5,31,0.857,0.802,Medium
64,Colombia,Colombia_Supplier_14,22.57,2376.77,3.0,4.25,25,0.806,0.888,Medium
65,Colombia,Colombia_Supplier_15,19.38,2222.25,5.0,4.36,33,0.672,1.0,Medium
66,Colombia,Colombia_Supplier_16,20.77,2447.28,3.0,4.04,33,0.861,0.923,Medium
67,Colombia,Colombia_Supplier_17,22.18,2422.5,4.0,5.47,34,0.841,0.928,Medium
68,Colombia,Colombia_Supplier_18,18.68,2484.84,5.0,4.8,20,0.957,0.792,Medium
69,Colombia,Colombia_Supplier_19,18.03,1833.5,4.0,5.48,26,0.824,0.7,Low
70,Colombia,Colombia_Supplier_20,18.85,1676.39,5.0,4.03,29,0.823,0.739,Low
71,Colombia,Colombia_Supplier_21,18.51,2496.87,2.0,5.5,23,0.839,0.866,Medium
72,Colombia,Colombia_Supplier_22,19.14,1536.55,2.0,5.55,26,0.585,0.959,Low
73,Colombia,Colombia_Supplier_23,20.4,2059.64,1.0,5.72,34,0.709,0.772,Low
74,Colombia,Colombia_Supplier_24,21.86,1908.73,1.0,4.31,30,0.841,0.853,Low
75,Colombia,Colombia_Supplier_25,19.33,1731.07,1.0,4.21,31,0.9,0.745,Low
76,Colombia,Colombia_Supplier_26,19.43,1599.44,6.0,4.59,33,0.883,0.725,Low
77,Colombia,Colombia_Supplier_27,20.53,2392.67,3.0,5.18,24,0.722,1.0,Medium
78,Colombia,Colombia_Supplier_28,21.31,1936.13,3.0,5.74,27,0.861,0.865,Low
79,Colombia,Colombia_Supplier_29,20.55,1522.47,3.0,4.28,32,0.852,0.885,Low
80,Colombia,Colombia_Supplier_30,19.03,1772.31,1.0,5.83,21,0.687,0.905,Low
81,Colombia,Colombia_Supplier_31,21.33,2151.42,2.0,4.27,33,0.876,0.948,Low
82,Colombia,Colombia_Supplier_32,21.6,2165.04,3.0,5.04,20,0.902,0.777,Low
83,Colombia,Colombia_Supplier_33,18.5,2103.15,2.0,4.71,30,0.907,0.675,Low
84,Colombia,Colombia_Supplier_34,20.86,2163.67,3.0,4.52,28,0.849,,Low
85,Colombia,Colombia_Supplier_35,21.58,1834.24,2.0,5.46,27,0.787,1.0,Low
86,Colombia,Colombia_Supplier_36,19.48,2319.1,5.0,5.83,22,0.843,0.912,Medium
87,Colombia,Colombia_Supplier_37,19.11,2041.9,6.0,4.44,34,0.893,0.871,Low
88,Colombia,Colombia_Supplier_38,19.08,2067.95,2.0,4.59,33,0.963,0.842,Low
89,Colombia,Colombia_Supplier_39,23.07,1819.1,2.0,4.46,21,0.872,0.802,Low
90,Colombia,Colombia_Supplier_40,20.04,2224.77,,5.08,31,0.953,0.701,Medium
91,Colombia,Colombia_Supplier_41,23.32,2115.86,1.0,5.74,20,0.858,0.957,Low
92,Colombia,Colombia_Supplier_42,23.63,2298.78,6.0,5.97,31,0.682,0.674,Medium
93,Colombia,Colombia_Supplier_43,22.43,1738.78,2.0,4.59,23,0.847,0.873,Low
94,Colombia,Colombia_Supplier_44,20.31,2179.65,3.0,4.84,33,0.845,0.917,Low
95,Colombia,Colombia_Supplier_45,21.68,1667.03,6.0,4.35,23,0.906,0.788,Low
96,Colombia,Colombia_Supplier_46,20.1,1557.84,6.0,4.31,32,0.779,0.78,Low
97,Colombia,Colombia_Supplier_47,21.22,2092.94,3.0,4.26,33,0.904,0.958,Low
98,Colombia,Colombia_Supplier_48,21.31,1586.99,3.0,4.99,21,0.919,0.744,Low
99,Colombia,Colombia_Supplier_49,18.46,2351.21,5.0,5.13,24,0.874,0.881,Medium
100,Colombia,Colombia_Supplier_50,21.95,2350.58,,5.76,33,0.813,0.767,Medium
101,Vietnam,Vietnam_Supplier_1,26.46,1328.61,4.0,3.93,49,0.564,0.825,Medium
102,Vietnam,Vietnam_Supplier_2,25.8,1631.99,8.0,4.41,43,0.681,0.71,Medium
103,Vietnam,Vietnam_Supplier_3,26.25,1253.88,8.0,4.14,30,0.857,0.743,High
104,Vietnam,Vietnam_Supplier_4,26.1,1556.72,7.0,3.12,43,0.572,0.837,Medium
105,Vietnam,Vietnam_Supplier_5,27.71,1320.85,9.0,3.32,30,0.575,0.894,High
106,Vietnam,Vietnam_Supplier_6,27.19,1578.57,9.0,4.38,42,0.691,0.894,High
107,Vietnam,Vietnam_Supplier_7,22.7,1300.15,5.0,3.4,45,0.655,0.561,Low
108,Vietnam,Vietnam_Supplier_8,22.07,1257.96,7.0,3.72,32,0.7,0.634,Low
109,Vietnam,Vietnam_Supplier_9,25.71,1761.97,3.0,3.13,37,0.6,0.722,Low
110,Vietnam,Vietnam_Supplier_10,25.41,1751.57,5.0,3.05,48,0.706,0.685,Low
111,Vietnam,Vietnam_Supplier_11,26.25,1896.78,9.0,3.79,44,0.635,0.702,High
112,Vietnam,Vietnam_Supplier_12,27.23,1375.37,8.0,4.49,49,0.587,0.806,High
113,Vietnam,Vietnam_Supplier_13,26.08,1257.76,6.0,3.52,37,0.722,0.855,Medium
114,Vietnam,Vietnam_Supplier_14,24.63,1780.21,10.0,3.2,44,0.732,0.721,Medium
115,Vietnam,Vietnam_Supplier_15,24.95,1397.78,8.0,3.99,36,0.653,0.785,Medium
116,Vietnam,Vietnam_Supplier_16,27.82,1563.03,4.0,4.24,38,0.765,0.611,Medium
117,Vietnam,Vietnam_Supplier_17,26.24,1333.63,4.0,4.27,46,0.803,0.774,Medium
118,Vietnam,Vietnam_Supplier_18,23.24,1289.54,4.0,3.18,39,0.681,0.795,Low
119,Vietnam,Vietnam_Supplier_19,25.04,1233.26,3.0,4.43,42,0.687,0.859,Low
120,Vietnam,Vietnam_Supplier_20,25.09,1591.08,3.0,4.06,34,0.728,0.685,Low
121,Vietnam,Vietnam_Supplier_21,24.66,1894.51,9.0,4.4,43,0.592,0.817,Medium
122,Vietnam,Vietnam_Supplier_22,25.95,1515.09,6.0,4.31,45,0.861,0.795,Low
123,Vietnam,Vietnam_Supplier_23,27.27,1523.31,9.0,3.49,37,0.859,0.665,High
124,Vietnam,Vietnam_Supplier_24,24.33,1558.95,3.0,3.91,43,0.631,0.975,Low
125,Vietnam,Vietnam_Supplier_25,24.28,1890.67,4.0,3.6,41,0.933,0.823,Low
126,Vietnam,Vietnam_Supplier_26,26.59,1850.39,4.0,3.97,47,0.71,0.744,Medium
127,Vietnam,Vietnam_Supplier_27,22.36,1947.55,4.0,3.46,46,0.509,0.79,Low
128,Vietnam,Vietnam_Supplier_28,25.66,1772.92,5.0,3.79,44,0.716,0.656,Low
129,Vietnam,Vietnam_Supplier_29,23.54,1970.34,9.0,3.32,42,0.815,0.72,Medium
130,Vietnam,Vietnam_Supplier_30,27.4,1482.74,6.0,3.94,39,0.581,0.781,Medium
131,Vietnam,Vietnam_Supplier_31,26.42,1890.24,3.0,3.96,42,0.546,0.777,Medium
132,Vietnam,Vietnam_Supplier_32,24.35,1675.58,9.0,3.16,44,0.538,0.806,Medium
133,Vietnam,Vietnam_Supplier_33,22.48,1268.53,5.0,3.78,31,0.638,0.82,Low
134,Vietnam,Vietnam_Supplier_34,25.24,1904.06,10.0,3.84,49,0.754,0.658,Medium
135,Vietnam,Vietnam_Supplier_35,23.21,1628.66,7.0,3.6,33,0.821,0.764,Low
136,Vietnam,Vietnam_Supplier_36,25.13,1698.87,6.0,3.45,35,0.63,0.726,Low
137,Vietnam,Vietnam_Supplier_37,27.62,1643.04,9.0,4.4,32,0.656,0.867,High
138,Vietnam,Vietnam_Supplier_38,27.27,1894.45,5.0,4.04,36,0.705,0.767,Medium
139,Vietnam,Vietnam_Supplier_39,26.93,1306.02,8.0,3.55,31,0.706,0.803,High
140,Vietnam,Vietnam_Supplier_40,27.79,1546.0,5.0,3.93,43,0.679,0.899,Medium
141,Vietnam,Vietnam_Supplier_41,22.35,1995.89,4.0,3.18,36,0.73,0.687,Low
142,Vietnam,Vietnam_Supplier_42,22.37,1607.54,9.0,3.29,37,0.821,0.718,Medium
143,Vietnam,Vietnam_Supplier_43,26.4,1815.44,3.0,3.39,45,0.711,0.638,Medium
144,Vietnam,Vietnam_Supplier_44,23.29,1209.7,9.0,3.73,33,0.817,0.664,Medium
145,Vietnam,Vietnam_Supplier_45,24.86,1500.71,10.0,4.35,39,0.841,0.871,Medium
146,Vietnam,Vietnam_Supplier_46,27.37,1709.34,5.0,4.02,30,0.724,0.705,Medium
147,Vietnam,Vietnam_Supplier_47,22.43,1257.01,4.0,3.52,45,0.595,0.804,Low
148,Vietnam,Vietnam_Supplier_48,23.04,1278.72,4.0,4.45,35,0.761,0.881,Low
149,Vietnam,Vietnam_Supplier_49,24.29,1364.55,5.0,4.45,45,0.846,0.93,Low
150,Vietnam,Vietnam_Supplier_50,26.49,1849.42,6.0,3.66,42,0.678,0.722,Medium
151,Ethiopia,Ethiopia_Supplier_1,23.87,1252.07,7.0,6.05,48,0.918,0.57,Low
152,Ethiopia,Ethiopia_Supplier_2,24.85,1456.17,2.0,4.76,49,0.847,0.759,Low
153,Ethiopia,Ethiopia_Supplier_3,20.06,1388.49,7.0,6.02,38,0.875,0.698,Low
154,Ethiopia,Ethiopia_Supplier_4,17.47,1308.52,4.0,5.61,49,0.78,0.744,Low
155,Ethiopia,Ethiopia_Supplier_5,18.55,,2.0,6.02,35,0.822,0.765,Low
156,Ethiopia,Ethiopia_Supplier_6,24.58,1057.56,5.0,5.4,49,0.922,0.793,Low
157,Ethiopia,Ethiopia_Supplier_7,18.92,1088.84,2.0,5.74,42,0.845,0.956,Low
158,Ethiopia,Ethiopia_Supplier_8,21.42,845.4,7.0,4.65,36,1.0,0.635,Medium
159,Ethiopia,Ethiopia_Supplier_9,22.08,1352.03,3.0,5.37,36,0.948,0.563,Low
160,Ethiopia,Ethiopia_Supplier_10,22.36,1498.84,6.0,6.18,42,1.0,0.854,Low
161,Ethiopia,Ethiopia_Supplier_11,16.84,1053.56,2.0,4.55,51,0.914,0.523,Low
162,Ethiopia,Ethiopia_Supplier_12,17.99,1458.48,6.0,5.47,37,0.921,0.662,Low
163,Ethiopia,Ethiopia_Supplier_13,19.96,1105.8,4.0,6.0,48,0.89,0.68,Low
164,Ethiopia,Ethiopia_Supplier_14,17.62,972.89,6.0,5.48,35,0.91,0.587,Medium
165,Ethiopia,Ethiopia_Supplier_15,19.11,1043.14,4.0,6.37,36,0.744,0.647,Low
166,Ethiopia,Ethiopia_Supplier_16,22.31,1486.91,4.0,6.44,47,0.819,0.668,Low
167,Ethiopia,Ethiopia_Supplier_17,16.51,957.72,4.0,6.22,49,0.918,0.663,Medium
168,Ethiopia,Ethiopia_Supplier_18,20.44,857.21,6.0,5.32,48,0.829,0.707,Medium
169,Ethiopia,Ethiopia_Supplier_19,20.13,1364.48,3.0,5.02,38,1.0,0.623,Low
170,Ethiopia,Ethiopia_Supplier_20,20.19,943.42,7.0,4.63,44,0.908,0.788,Medium
171,Ethiopia,Ethiopia_Supplier_21,19.98,873.83,7.0,6.09,46,1.0,0.754,Medium
172,Ethiopia,Ethiopia_Supplier_22,18.96,1440.56,7.0,6.47,37,0.845,0.648,Low
173,Ethiopia,Ethiopia_Supplier_23,23.94,1258.0,3.0,6.26,51,0.952,0.701,Low
174,Ethiopia,Ethiopia_Supplier_24,19.18,1488.88,5.0,4.53,46,1.0,0.722,Low
175,Ethiopia,Ethiopia_Supplier_25,23.9,855.58,7.0,6.14,44,0.891,0.5,Medium
176,Ethiopia,Ethiopia_Supplier_26,23.28,1034.65,3.0,4.98,37,0.834,0.5,Low
177,Ethiopia,Ethiopia_Supplier_27,22.49,1255.8,6.0,5.85,41,0.854,0.72,Low
178,Ethiopia,Ethiopia_Supplier_28,16.75,1399.02,6.0,4.93,35,1.0,0.568,Low
179,Ethiopia,Ethiopia_Supplier_29,24.38,1409.84,7.0,5.39,44,0.914,0.81,Low
180,Ethiopia,Ethiopia_Supplier_30,18.8,1483.76,2.0,5.98,53,0.971,0.656,Low
181,Ethiopia,Ethiopia_Supplier_31,17.92,1437.54,2.0,6.43,49,0.989,0.647,Low
182,Ethiopia,Ethiopia_Supplier_32,17.82,1410.93,3.0,4.98,35,0.711,0.67,Low
183,Ethiopia,Ethiopia_Supplier_33,20.98,1008.07,2.0,6.31,52,0.995,0.871,Low
184,Ethiopia,Ethiopia_Supplier_34,23.92,929.73,3.0,5.67,54,0.907,0.816,Medium
185,Ethiopia,Ethiopia_Supplier_35,15.64,1381.96,2.0,6.32,48,0.965,0.969,Low
186,Ethiopia,Ethiopia_Supplier_36,19.3,1021.86,7.0,5.52,37,0.874,0.5,Low
187,Ethiopia,Ethiopia_Supplier_37,21.52,1465.37,4.0,5.01,42,0.839,0.696,Low
188,Ethiopia,Ethiopia_Supplier_38,16.4,993.77,5.0,4.91,45,0.869,0.625,Medium
189,Ethiopia,Ethiopia_Supplier_39,23.03,1200.43,4.0,5.73,37,0.91,0.5,Low
190,Ethiopia,Ethiopia_Supplier_40,23.74,1145.48,4.0,5.34,43,0.927,0.751,Low
191,Ethiopia,Ethiopia_Supplier_41,21.08,1016.56,,5.77,36,1.0,0.79,Low
192,Ethiopia,Ethiopia_Supplier_42,16.14,1068.69,3.0,6.0,36,0.878,0.635,Low
193,Ethiopia,Ethiopia_Supplier_43,24.42,1268.0,3.0,5.77,53,0.995,0.729,Low
194,Ethiopia,Ethiopia_Supplier_44,22.24,884.39,3.0,4.52,43,0.887,0.512,Medium
195,Ethiopia,Ethiopia_Supplier_45,20.77,830.62,5.0,5.88,43,0.781,0.792,Medium
196,Ethiopia,Ethiopia_Supplier_46,18.06,1352.29,7.0,5.7,49,0.801,0.848,Low
197,Ethiopia,Ethiopia_Supplier_47,16.67,1101.37,3.0,4.55,47,0.759,0.821,Low
198,Ethiopia,Ethiopia_Supplier_48,15.72,1086.74,4.0,6.48,44,0.819,0.742,Low
199,Ethiopia,Ethiopia_Supplier_49,19.86,819.28,3.0,4.56,42,0.874,0.86,Medium
200,Ethiopia,Ethiopia_Supplier_50,17.89,1430.06,7.0,6.42,42,0.743,0.587,Low
201,Honduras,Honduras_Supplier_1,23.25,1123.32,8.0,4.18,29,0.756,0.769,Medium
202,Honduras,Honduras_Supplier_2,22.08,1464.37,10.0,4.29,25,1.0,0.57,Medium
203,Honduras,Honduras_Supplier_3,21.37,1771.22,11.0,4.43,39,0.863,0.715,Medium
204,Honduras,Honduras_Supplier_4,23.53,1300.26,12.0,5.41,28,0.867,0.7,Medium
205,Honduras,Honduras_Supplier_5,25.36,1049.97,10.0,4.1,30,0.687,0.806,Medium
206,Honduras,Honduras_Supplier_6,21.26,1765.96,5.0,4.98,37,0.686,0.763,Low
207,Honduras,Honduras_Supplier_7,24.52,1615.14,8.0,3.63,30,0.761,0.707,Medium
208,Honduras,Honduras_Supplier_8,25.69,1057.85,7.0,3.65,31,0.65,0.644,Low
209,Honduras,Honduras_Supplier_9,21.69,1642.79,11.0,5.28,32,0.969,0.591,Medium
210,Honduras,Honduras_Supplier_10,23.75,1057.42,10.0,4.07,27,0.698,,Medium
211,Honduras,Honduras_Supplier_11,24.49,1254.07,4.0,4.52,25,0.846,0.617,Low
212,Honduras,Honduras_Supplier_12,20.38,1671.47,4.0,3.7,30,0.823,0.671,Low
213,Honduras,Honduras_Supplier_13,21.88,1631.15,11.0,3.83,35,0.769,0.727,Medium
214,Honduras,Honduras_Supplier_14,24.57,1760.62,6.0,5.41,32,0.606,0.5,Low
215,Honduras,Honduras_Supplier_15,21.25,1294.97,8.0,5.26,28,0.847,0.88,Medium
216,Honduras,Honduras_Supplier_16,21.77,1109.28,10.0,3.72,32,0.824,0.669,Medium
217,Honduras,Honduras_Supplier_17,20.09,1303.28,4.0,4.49,31,0.991,0.798,Low
218,Honduras,Honduras_Supplier_18,20.06,1371.28,9.0,5.04,37,0.715,0.663,Medium
219,Honduras,Honduras_Supplier_19,20.11,1234.65,4.0,4.1,34,0.817,0.788,Low
220,Honduras,Honduras_Supplier_20,22.75,1318.4,6.0,3.62,39,0.752,0.743,Low
221,Honduras,Honduras_Supplier_21,25.78,1060.48,7.0,5.12,34,0.908,0.618,Low
222,Honduras,Honduras_Supplier_22,21.56,1276.15,7.0,4.76,31,0.589,0.738,Low
223,Honduras,Honduras_Supplier_23,23.0,1543.7,6.0,3.83,31,0.795,0.757,Low
224,Honduras,Honduras_Supplier_24,21.45,1768.5,10.0,5.46,27,0.793,0.722,Medium
225,Honduras,Honduras_Supplier_25,24.54,1129.34,9.0,3.52,30,0.625,0.78,Medium
226,Honduras,Honduras_Supplier_26,21.93,1678.43,5.0,3.74,29,0.824,0.702,Low
227,Honduras,Honduras_Supplier_27,25.96,1035.93,12.0,3.88,38,0.751,0.625,Medium
228,Honduras,Honduras_Supplier_28,21.33,1031.14,7.0,4.53,36,0.66,0.587,Low
229,Honduras,Honduras_Supplier_29,25.36,1757.17,10.0,3.64,26,0.751,0.791,Medium
230,Honduras,Honduras_Supplier_30,22.46,1648.7,10.0,3.76,36,0.682,,Medium
231,Honduras,Honduras_Supplier_31,25.84,1180.9,4.0,4.96,39,0.818,0.605,Low
232,Honduras,Honduras_Supplier_32,24.45,1678.74,12.0,4.82,26,0.93,0.758,Medium
233,Honduras,Honduras_Supplier_33,21.0,1624.51,8.0,4.53,32,0.811,0.702,Medium
234,Honduras,Honduras_Supplier_34,24.97,1557.77,12.0,4.62,39,0.511,0.713,Medium
235,Honduras,Honduras_Supplier_35,20.98,1628.96,4.0,4.91,39,0.598,0.684,Low
236,Honduras,Honduras_Supplier_36,24.23,1653.7,9.0,3.76,37,0.702,0.634,Medium
237,Honduras,Honduras_Supplier_37,21.74,1697.13,8.0,3.6,33,0.65,0.61,Medium
238,Honduras,Honduras_Supplier_38,22.12,1497.03,8.0,3.61,30,0.766,0.77,Medium
239,Honduras,Honduras_Supplier_39,24.03,1505.83,6.0,5.46,26,0.617,0.728,Low
240,Honduras,Honduras_Supplier_40,25.82,1090.64,8.0,4.04,29,0.771,0.727,Medium
241,Honduras,Honduras_Supplier_41,23.62,1061.58,7.0,3.53,39,0.831,0.605,Low
242,Honduras,Honduras_Supplier_42,24.24,1488.01,10.0,4.68,35,0.664,0.89,Medium
243,Honduras,Honduras_Supplier_43,20.09,1466.34,9.0,4.37,26,0.782,0.739,Medium
244,Honduras,Honduras_Supplier_44,22.6,1206.97,6.0,4.93,26,0.779,0.697,Low
245,Honduras,Honduras_Supplier_45,24.43,1011.0,4.0,4.42,35,0.911,0.82,Low
246,Honduras,Honduras_Supplier_46,20.49,1761.19,11.0,5.34,33,0.578,0.748,Medium
247,Honduras,Honduras_Supplier_47,22.21,1716.28,10.0,5.15,29,0.711,0.715,Medium
248,Honduras,Honduras_Supplier_48,21.81,1402.1,7.0,3.82,27,0.829,0.754,Low
249,Honduras,Honduras_Supplier_49,24.88,1548.11,6.0,4.21,37,0.683,0.821,Low
250,Honduras,Honduras_Supplier_50,25.48,1762.25,9.0,5.22,35,0.767,0.736,Medium
